Date,msft_price,msft_volume,aaba_price,aaba_vol,aapl_price,appl_vol
30-Dec-16,62.14,25579908,38.67,6432792,115.82,30586265
29-Dec-16,62.9,10250582,38.64,4170497,116.73,15039519
28-Dec-16,62.99,14653348,38.73,4428368,116.76,20905892
27-Dec-16,63.28,11763173,38.92,4240285,117.26,18296855
23-Dec-16,63.24,12403819,38.66,3841245,116.52,14249484
22-Dec-16,63.55,22176585,38.5,11685650,116.29,26085854
21-Dec-16,63.54,17096304,39.15,8296515,117.06,23783165
20-Dec-16,63.54,26028379,39.16,25008427,116.95,21424965
19-Dec-16,63.62,34338219,38.42,13615511,116.64,27779423
16-Dec-16,62.3,42453083,38.61,21694081,115.97,44351134
15-Dec-16,62.58,27669868,38.41,43669990,115.82,46524544
14-Dec-16,62.68,30352654,40.91,19555694,115.19,34031834
13-Dec-16,62.98,35718868,41.47,6564552,115.19,43733811
12-Dec-16,62.17,20198081,41.3,4451709,113.3,26374377
9-Dec-16,61.97,27349356,41.76,6836112,113.95,34402627
8-Dec-16,61.01,21220753,41.41,9171707,112.12,27068316
7-Dec-16,61.37,30808969,40.52,7208492,111.03,29998719
6-Dec-16,59.95,19907035,39.97,6987846,109.95,26195462
5-Dec-16,60.22,23552658,40.2,4408407,109.11,34324540
2-Dec-16,59.25,25515665,40.07,8588544,109.9,26527997
1-Dec-16,59.2,34542121,39.63,12624139,109.49,37086862
30-Nov-16,60.26,34655435,41.02,7644360,110.52,36162258
29-Nov-16,61.09,22366721,41.6,13085981,111.46,28528750
28-Nov-16,60.61,20732619,41.45,6836364,111.57,27193983
25-Nov-16,60.53,8409616,40.87,2586908,111.79,11475922
23-Nov-16,60.4,21848913,40.96,3719257,111.23,27426394
22-Nov-16,61.12,23206700,41.01,8881541,111.8,25965534
21-Nov-16,60.86,19652595,41.11,11355856,111.73,29264571
18-Nov-16,60.35,27686311,41.19,8138928,110.06,28428917
17-Nov-16,60.64,31463728,41.45,8692013,109.95,26964598
16-Nov-16,59.65,27332475,40.98,15609553,109.99,58840522
15-Nov-16,58.87,35904126,40.21,13364918,107.11,32264510
14-Nov-16,58.12,41328422,39.3,12692293,105.71,51175504
11-Nov-16,59.02,38767843,40.42,15178907,108.43,34143898
10-Nov-16,58.7,57822394,40.16,16443786,107.79,57134541
9-Nov-16,60.17,49632479,41.21,24000065,110.88,59176361
8-Nov-16,60.47,22935355,41.16,4229743,111.06,24254179
7-Nov-16,60.42,31664798,41.05,5430744,110.41,32560000
4-Nov-16,58.71,28697016,40.28,4579437,108.84,30836997
3-Nov-16,59.21,21600427,40.23,8112820,109.83,26932602
2-Nov-16,59.43,22147005,40.68,13019956,111.59,28331709
1-Nov-16,59.8,24532986,41.33,11751521,111.49,43825812
31-Oct-16,59.92,26434697,41.55,3749658,113.54,26419398
28-Oct-16,59.87,33574684,41.78,6197469,113.72,37861662
27-Oct-16,60.1,28479856,41.87,7240848,114.48,34562045
26-Oct-16,60.63,29911608,42.08,6123026,115.59,66134219
25-Oct-16,60.99,35137164,42.55,5338875,118.25,48128970
24-Oct-16,61,54066978,42.59,4346851,117.65,23538673
21-Oct-16,59.66,80032206,42.17,7194168,116.6,23192665
20-Oct-16,57.25,49455612,42.38,11671022,117.06,24125801
19-Oct-16,57.53,22878397,42.73,14532469,117.12,20034594
18-Oct-16,57.66,19149538,41.68,19360802,117.47,24553478
17-Oct-16,57.22,23830014,41.79,8620369,117.55,23624896
14-Oct-16,57.42,27402451,41.44,7781258,117.63,35652191
13-Oct-16,56.92,25313748,41.62,15689711,116.98,35192406
12-Oct-16,57.11,22177464,42.36,7290843,117.34,37586787
11-Oct-16,57.19,26497418,42.68,9513283,116.3,64041043
10-Oct-16,58.04,18196509,43.92,6573631,116.05,36235956
7-Oct-16,57.8,20089020,43.22,8502112,114.06,24358443
6-Oct-16,57.74,16212611,43.68,6293908,113.89,28779313
5-Oct-16,57.64,16726411,43.71,6118487,113.05,21453089
4-Oct-16,57.24,20085874,43.18,8998384,113,29736835
3-Oct-16,57.42,19189515,43.13,7965922,112.52,21701760
30-Sep-16,57.6,29910788,43.1,10374757,113.05,36379106
29-Sep-16,57.4,25463536,42.57,13720746,112.18,35886990
28-Sep-16,58.03,20536400,43.69,7418984,113.95,29641085
27-Sep-16,57.95,28065071,43.37,8765715,113.09,24607412
26-Sep-16,56.9,21688720,42.29,12745119,112.88,29869442
23-Sep-16,57.43,19955336,42.8,31888521,112.71,52481151
